smiles,ccdid,description,sm_check,rd_smiles,res_smiles
CC(C(=O)O)N,ALA,alanine,True,CC(N)C(=O)O,CC(N)C=O
C(CC(C(=O)O)N)CNC(=[NH2+])N,ARG,arginine,True,N=C(N)NCCCC(N)C(=O)O,N=C(N)NCCCC(N)C=O
C(C(C(=O)O)N)C(=O)N,ASN,asparagine,True,NC(=O)CC(N)C(=O)O,NC(=O)CC(N)C=O
C(C(C(=O)O)N)C(=O)O,ASP,aspartic acid,True,NC(CC(=O)O)C(=O)O,NC(C=O)CC(=O)O
C(C(C(=O)O)N)S,CYS,cysteine,True,NC(CS)C(=O)O,NC(C=O)CS
C(CC(=O)N)C(C(=O)O)N,GLN,glutamine,True,NC(=O)CCC(N)C(=O)O,NC(=O)CCC(N)C=O
C(CC(=O)O)C(C(=O)O)N,GLU,glutamic acid,True,NC(CCC(=O)O)C(=O)O,NC(C=O)CCC(=O)O
C(C(=O)O)N,GLY,glycine,True,NCC(=O)O,NCC=O
c1c([nH+]c[nH]1)CC(C(=O)O)N,HIS,histidine,True,NC(Cc1c[nH]cn1)C(=O)O,NC(C=O)Cc1c[nH]cn1
CCC(C)C(C(=O)O)N,ILE,isoleucine,True,CCC(C)C(N)C(=O)O,CCC(C)C(N)C=O
CC(C)CC(C(=O)O)N,LEU,leucine,True,CC(C)CC(N)C(=O)O,CC(C)CC(N)C=O
C(CC[NH3+])CC(C(=O)O)N,LYS,lysine,True,NCCCCC(N)C(=O)O,NCCCCC(N)C=O
CSCCC(C(=O)O)N,MET,methionine,True,CSCCC(N)C(=O)O,CSCCC(N)C=O
c1ccc(cc1)CC(C(=O)O)N,PHE,phenylalanine,True,NC(Cc1ccccc1)C(=O)O,NC(C=O)Cc1ccccc1
C1CC(NC1)C(=O)O,PRO,proline,True,O=C(O)C1CCCN1,O=CC1CCCN1
C(C(C(=O)O)N)O,SER,serine,True,NC(CO)C(=O)O,NC(C=O)CO
CC(C(C(=O)O)N)O,THR,threonine,True,CC(O)C(N)C(=O)O,CC(O)C(N)C=O
